Mtest4,false,1527501600658
totalSeatCount,6,1527501803595
SoundWindow0,71.717666940083,1527501803864
Mtest3,true,1527501804595
SoundWindow1,60.25404399651897,1527501804974
SoundCenter0,70.24259721703244,1527501806174
SoundCenter1,72.82738675590281,1527501806176
SoundCenter2,64.69685813027054,1527501806177
Aircon0Power,On,1527501806645
sensor0_Temperature,26.48,1527501806885
sensor0_Humidity,43.37600140415982,1527501806886
sensor0_Brightness,67.0,1527501806887
sensor1_Temperature,24.25,1527501806887
sensor1_Humidity,44.36256044896643,1527501806887
sensor1_Brightness,53.0,1527501806888
SoundWall0,68.58531779898563,1527501806922
SoundWall1,70.52027989354885,1527501806931
SoundWall2,68.25177487313992,1527501806942
seat2BOccupied,true,1527501808827
totalSeatCount,7,1527501808827
SoundC,70.0787016850011,1527501809164
SoundC,70.0787016850011,1527501809164
Present,148,1527501809167
Present,148,1527501809167
seat2BOccupied,false,1527501813002
totalSeatCount,6,1527501813002
sensor0_Temperature,26.48,1527501813176
sensor0_Humidity,43.37600140415982,1527501813176
sensor0_Brightness,67.0,1527501813177
sensor1_Temperature,24.25,1527501813178
sensor1_Humidity,44.36256044896643,1527501813178
sensor1_Brightness,53.0,1527501813179
SoundWindow0,71.82300606737141,1527501813864
SoundWindow1,60.41775889736697,1527501813867
SoundCenter0,69.98407979911606,1527501816174
SoundCenter1,72.6370177160426,1527501816176
SoundCenter2,63.82489063034609,1527501816176
SoundWall0,68.39617479644504,1527501816922
SoundWall1,70.14242484659374,1527501816931
SoundWall2,67.88763248745076,1527501816943
seat2BOccupied,true,1527501818002
totalSeatCount,7,1527501818002
SoundC,70.0787016850011,1527501819169
SoundC,70.0787016850011,1527501819169
Present,150,1527501819172
Present,150,1527501819172
ProjectorInput,COM1,1527501819203
sensor0_Temperature,26.48,1527501819477
sensor0_Humidity,43.37600140415982,1527501819478
sensor0_Brightness,67.0,1527501819478
sensor1_Temperature,24.25,1527501819479
sensor1_Humidity,44.36256044896643,1527501819480
sensor1_Brightness,53.0,1527501819480
Mtest1,false,1527501821168
Mtest8,false,1527501822168
SoundWindow0,71.76406246859993,1527501823864
SoundWindow1,59.97557705225145,1527501823867
seat2BOccupied,false,1527501824168
totalSeatCount,6,1527501824168
sensor0_Temperature,26.48,1527501825767
sensor0_Humidity,43.37600140415982,1527501825767
sensor0_Brightness,67.0,1527501825768
sensor1_Temperature,24.25,1527501825768
sensor1_Humidity,44.36256044896643,1527501825768
sensor1_Brightness,53.0,1527501825769
SoundCenter0,69.25234847730373,1527501826174
SoundCenter1,71.75699054677801,1527501826176
SoundCenter2,62.87495813664984,1527501826176
SoundWall0,67.65054837697643,1527501826922
SoundWall1,69.53029743710721,1527501826931
SoundWall2,67.14953216241308,1527501826945
Mtest6,true,1527501827168
Mtest5,true,1527501827168
SoundC,68.61682354019833,1527501829179
SoundC,68.61682354019833,1527501829179
Present,114,1527501829183
Present,114,1527501829183
sensor0_Temperature,26.48,1527501832070
sensor0_Humidity,43.37600140415982,1527501832071
sensor0_Brightness,67.0,1527501832071
sensor1_Temperature,24.25,1527501832072
sensor1_Humidity,44.36256044896643,1527501832072
sensor1_Brightness,53.0,1527501832073
SoundWindow0,71.34376056555114,1527501833864
SoundWindow1,59.811206558332884,1527501833869
seat2BOccupied,true,1527501834182
totalSeatCount,7,1527501834182
tiltTest_Pitch,5.26,1527501835265
tiltTest_Roll,-0.87,1527501835265
SoundCenter0,68.78755494824593,1527501836174
SoundCenter1,70.6732005952255,1527501836176
SoundCenter2,62.61297309514483,1527501836177
SoundWall0,67.66221665488314,1527501836922
SoundWall1,69.62440192697365,1527501836931
SoundWall2,67.28329540713503,1527501836944
sensor0_Temperature,26.48,1527501838416
sensor0_Humidity,43.37600140415982,1527501838417
sensor0_Brightness,67.0,1527501838417
sensor1_Temperature,24.25,1527501838418
sensor1_Humidity,44.36256044896643,1527501838418
sensor1_Brightness,53.0,1527501838418
SoundC,70.0787016850011,1527501839185
SoundC,70.0787016850011,1527501839185
Present,149,1527501839187
Present,149,1527501839187
